Sample ID,Date,Latitude,Longitude,Location,Water Type,_18O,_D,D-excess
MSTI001,9/22/19,4.2618,36.2232,Kale Beach,Lake,5.13,37.48,-3.56
MSTI003,9/26/19,4.2618,36.2232,Kale Beach,Lake,5.09,36.84,-3.88
L03,2/10/17,4.1766,36.2332,Il Kimere Delta,Lake,5.62,39.95,-5.01
MSTI004,9/27/19,4.1786,36.2367,Tulu Bor Delta,Lake,5.22,37.26,-4.5
L004,10/4/16,3.9479,36.1863,Koobi Fora Field Camp,Lake,5.32,39.2,-3.36
L04,2/15/17,3.9479,36.1863,Koobi Fora Field Camp,Lake,5.54,38.99,-5.33
L19,2/14/18,3.9479,36.1863,Koobi Fora Field Camp,Lake,5.42,38.91,-4.45
L24,7/6/18,3.9496,36.1861,Koobi Fora Field Camp,Lake,5.88,39.65,-7.39
MSTI007,10/2/19,3.8809,36.3257,Koobi Fora Museum,Lake,5.19,37.33,-4.19
L07,3/26/17,4.1072,35.9174,Nariokotome,Lake,5.63,40.11,-4.93
L21,3/22/18,4.1072,35.9174,Nariokotome,Lake,4.76,35.85,-2.23
MSTI013,1/18/20,3.7946,35.8538,Topernawi,Lake,4.71,32.22,-5.46
L08,3/25/17,3.2534,36.0204,Eliye Springs,Lake,5.46,39.88,-3.8
L22,3/23/18,3.2534,36.0204,Eliye Springs,Lake,5.02,36.45,-3.71
MSTI015,1/22/20,3.0128,36.1198,Kerio River Delta,Lake,2.2,13.95,-3.65
L13,6/24/17,4.4591,36.2111,Omo River Delta,Restricted Lake,7.92,49.79,-13.57
L002,9/30/16,4.2889,36.2058,Il Eeriet Delta,Restricted Lake,6,41.13,-6.87
L17,2/9/18,4.2572,36.2225,Kale Beach,Restricted Lake,6.27,43.17,-6.99
MSTI002,9/22/19,4.2611,36.2235,Kale Beach,Restricted Lake,9.68,54.7,-22.74
MSTI005,9/27/19,4.1786,36.2367,Tulu Bor Delta,Restricted Lake,5.67,38.52,-6.84
E01,7/3/17,4.2865,36.1343,TBI-Ileret,Surface,4.52,22.2,-13.96
E02,7/4/18,4.2865,36.1343,TBI-Ileret,Surface,6.14,24.98,-24.14
E03,7/19/18,4.2865,36.1343,TBI-Ileret,Surface,5.03,20.55,-19.69
BW01,8/6/18,4.2865,36.1343,TBI-Ileret,Surface,7.34,31.21,-27.51
BW02,10/4/18,4.2865,36.1343,TBI-Ileret,Surface,10.67,45.45,-39.91
BW03,11/4/18,4.2865,36.1343,TBI-Ileret,Surface,7.96,33.91,-29.77
BW04,12/4/18,4.2865,36.1343,TBI-Ileret,Surface,7.68,32.96,-28.48
BW05,1/4/19,4.2865,36.1343,TBI-Ileret,Surface,4.56,32.51,-3.97
BW06,4/1/19,4.2865,36.1343,TBI-Ileret,Surface,8.97,39.62,-32.14
BW07,4/4/19,4.2865,36.1343,TBI-Ileret,Surface,6.12,31.29,-17.67
BW08,9/4/19,4.2865,36.1343,TBI-Ileret,Surface,7.45,33.72,-25.88
MSTI011,1/16/20,3.851,35.7237,Topernawi,Surface,-3.68,-26.82,2.62
G05,5/28/17,4.3261,36.2228,Ileret,Ground,-0.12,-2.33,-1.37
G04,5/28/17,4.2968,36.2184,Ileret,Ground,2.42,3.94,-15.42
G07,6/21/17,4.1849,36.4816,Karari,Ground,-2.23,-11.9,5.94
T001,10/6/16,4.1719,36.154,TBI-Ileret,Ground,3.11,-11.14,-36.02
T01,3/8/17,4.1719,36.154,TBI-Ileret,Ground,3.23,-9.02,-34.86
T04,5/26/17,4.1719,36.154,TBI-Ileret,Ground,3.05,-12.83,-37.23
T03,3/29/17,3.0829,35.515,TBI-Turkwel,Ground,-2.46,-8.4,11.28
MSTI017,1/22/20,3.141,35.8655,TBI-Turkwel,Ground,-1.84,-5.02,9.7
