"","SampleID","Date","Time","WaterType","Location","Latitude","Longitude","Sample n","d18O","d18Osd","dD","dDsd","Dexcess"
"19","MSTI104",2019-04-25,NA,"Precipitation","TBI-Ileret",4.2863,36.2621,1,-0.42,NA,8.5,NA,11.86
"20","MSTI106",2019-04-27,NA,"Precipitation","TBI-Ileret",4.2863,36.2621,1,2.34,NA,11.84,NA,-6.88
"21","MSTI107",2019-05-26,NA,"Precipitation","TBI-Ileret",4.2863,36.2621,1,-0.2,NA,10.13,NA,11.73
"22","MSTI108",2019-06-12,NA,"Precipitation","TBI-Ileret",4.2863,36.2621,1,-0.42,NA,8.42,NA,11.78
"23","MSTI109",2019-07-16,NA,"Precipitation","TBI-Ileret",4.2863,36.2621,1,-0.32,NA,9.7,NA,12.26
"24","MSTI110",2019-08-13,NA,"Precipitation","TBI-Ileret",4.2863,36.2621,1,-0.16,NA,10.25,NA,11.53
"25","MSTI006",2019-10-02,NA,"Precipitation","TBI-Ileret",4.2876,36.261,1,-2.26,NA,-24.35,NA,-6.27
"26","MSTI008",2019-10-02,NA,"Precipitation","TBI-Ileret",4.2876,36.261,1,-2.98,NA,-26.27,NA,-2.43
"27","R18",2018-03-19,11:00:00,"Precipitation","TBI-Turkwel",3.1396,35.8649,1,0.93,NA,23.49,NA,16.05
"28","R19",2018-06-23,NA,"Precipitation","TBI-Turkwel",3.1396,35.8649,1,3.38,NA,15.98,NA,-11.06
"29","V01",2017-03-29,08:00:00,"River","TBI-Turkwel",3.1417,35.8623,1,-0.8,NA,3.43,NA,9.83
"30","V03",2018-03-19,18:30:00,"River","TBI-Turkwel",3.1417,35.8623,1,0.07,NA,10.3,NA,9.74
"31","V04",2018-03-31,10:00:00,"River","TBI-Turkwel",3.1417,35.8623,1,0.36,NA,7.94,NA,5.06
"32","MSTI010",2020-01-14,NA,"River","TBI-Turkwel",3.1417,35.8623,1,-2.17,NA,-8.01,NA,9.35
"33","MSTI016",2020-01-22,NA,"River","TBI-Turkwel",3.1417,35.8623,1,-1.88,NA,-7.65,NA,7.39
"34","V02",2017-06-26,08:30:00,"River","Omorate",4.8023,36.049,2,-0.36,0,8.93,0.37,11.81
"35","MSTI012",2020-01-18,NA,"River","Topernawi",3.8505,35.7272,1,-3.39,NA,-26.23,NA,0.89
"36","L12",2017-06-20,11:30:00,"Lake","Sericho",4.4293,36.2207,1,6.38,NA,42.56,NA,-8.48
"37","L11",2017-06-20,10:00:00,"Lake","Sericho",4.3657,36.2171,2,5.89,0.03,41.88,0.48,-5.24
"38","L003",2016-09-30,NA,"Lake","Il Eeriet Delta",4.2879,36.2059,1,5.47,NA,39.77,NA,-3.99
"39","L001",2016-09-29,NA,"Lake","Kale Beach",4.2769,36.2212,1,5.46,NA,38.06,NA,-5.62
"40","L25",2016-10-08,NA,"Lake","Kale Beach",4.2621,36.2233,1,5.05,NA,36.31,NA,-4.09
"41","L01",2017-02-01,19:00:00,"Lake","Kale Beach",4.2572,36.2225,1,5.49,NA,38.34,NA,-5.58
"42","L02",2017-02-05,18:30:00,"Lake","Kale Beach",4.2572,36.2225,1,5.43,NA,38.99,NA,-4.45
"43","L06",2017-03-05,11:30:00,"Lake","Kale Beach",4.2572,36.2225,1,5.41,NA,39.05,NA,-4.23
"44","L09",2017-06-04,12:00:00,"Lake","Kale Beach",4.2779,36.2221,1,4.8,NA,35.63,NA,-2.77
"45","L10",2017-06-18,23:30:00,"Lake","Kale Beach",4.2779,36.2221,1,5.69,NA,40.36,NA,-5.16
"46","L14",2017-07-04,16:30:00,"Lake","Kale Beach",4.2814,36.2184,1,2.62,NA,23.1,NA,2.14
"47","L15",2018-01-31,17:30:00,"Lake","Kale Beach",4.2572,36.2225,1,5.55,NA,40.12,NA,-4.28
"48","L16",2018-02-04,11:00:00,"Lake","Kale Beach",4.2572,36.2225,1,5.42,NA,39.12,NA,-4.24
"49","L18",2018-02-11,10:00:00,"Lake","Kale Beach",4.2572,36.2225,1,5.33,NA,38.5,NA,-4.14
