SampleID,Date,Time,WaterType,Location,Latitude,Longitude,SurfaceTempC,Sample n,d18O,d18Osd,dD,dDsd,Dexcess
L16,2018-02-04,11:00,Lake,Kale Beach,4.2572,36.2225,NA,1,5.42,NA,39.12,NA,-4.24
L18,2018-02-11,10:00,Lake,Kale Beach,4.2572,36.2225,NA,1,5.33,NA,38.5,NA,-4.14
L20,2018-02-25,10:00,Lake,Kale Beach,4.2572,36.2225,NA,1,5.22,NA,38.25,NA,-3.51
L23,2018-07-01,NA,Lake,Kale Beach,4.2621,36.2233,NA,1,5.13,NA,35.97,NA,-5.07
L26,2018-07-15,NA,Lake,Kale Beach,4.2621,36.2233,NA,1,5.1,NA,36.44,NA,-4.36
L27,2018-07-22,NA,Lake,Kale Beach,4.2769,36.2212,NA,1,5,NA,36.2,NA,-3.8
LT01,2018-07-31,NA,Lake,Kale Beach,4.2621,36.2233,NA,1,5.42,NA,37.08,NA,-6.28
LT02,2018-08-15,NA,Lake,Kale Beach,4.2621,36.2233,NA,1,5.31,NA,35.49,NA,-6.99
LT03,2018-08-30,NA,Lake,Kale Beach,4.2621,36.2233,NA,1,5.33,NA,35.24,NA,-7.4
LT04,2018-09-15,NA,Lake,Kale Beach,4.1562,36.1343,NA,1,5.18,NA,32.87,NA,-8.57
LT05,2018-09-30,NA,Lake,Kale Beach,4.1562,36.1344,NA,1,6.56,NA,40.65,NA,-11.83
LT06,2018-10-15,NA,Lake,Kale Beach,4.2623,36.2232,NA,1,4.87,NA,33.98,NA,-4.98
LT07,2018-11-01,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.91,NA,34.4,NA,-4.88
LT08,2018-11-15,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.88,NA,33.95,NA,-5.09
LT09,2018-12-04,NA,Lake,Kale Beach,4.2621,36.2232,NA,1,4.6,NA,33.18,NA,-3.62
LT10,2018-12-15,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.89,NA,32.69,NA,-6.43
LT11,2019-02-02,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.72,NA,33.67,NA,-4.09
LT12,2019-04-01,NA,Lake,Kale Beach,4.2621,36.2231,NA,1,4.55,NA,33.19,NA,-3.21
LT13,2019-04-15,NA,Lake,Kale Beach,4.2619,36.2235,NA,1,4.81,NA,34.87,NA,-3.61
