"","SampleID","Date","Latitude","Longitude","Location","WaterType","d18O","dD","Dexcess"
"63","LT10",2018-12-15,4.2621,36.2231,"Kale Beach","Lake",4.89,32.69,-6.43
"64","LT11",2019-02-02,4.2621,36.2231,"Kale Beach","Lake",4.72,33.67,-4.09
"65","LT12",2019-04-01,4.2621,36.2231,"Kale Beach","Lake",4.55,33.19,-3.21
"66","LT13",2019-04-15,4.2619,36.2235,"Kale Beach","Lake",4.81,34.87,-3.61
"67","LT14",2019-05-02,4.2621,36.2231,"Kale Beach","Lake",4.67,34.25,-3.11
"68","LT15",2019-05-31,4.2621,36.223,"Kale Beach","Lake",4.81,34.52,-3.96
"69","LT16",2019-06-03,4.2621,36.2231,"Kale Beach","Lake",4.63,33.26,-3.78
"70","MSTI001",2019-09-22,4.2618,36.2232,"Kale Beach","Lake",5.13,37.48,-3.56
"71","MSTI003",2019-09-26,4.2618,36.2232,"Kale Beach","Lake",5.09,36.84,-3.88
"72","L03",2017-02-10,4.1766,36.2332,"Il Kimere Delta","Lake",5.62,39.95,-5.01
"73","MSTI004",2019-09-27,4.1786,36.2367,"Tulu Bor Delta","Lake",5.22,37.26,-4.5
"74","L004",2016-10-04,3.9479,36.1863,"Koobi Fora Field Camp","Lake",5.32,39.2,-3.36
"75","L04",2017-02-15,3.9479,36.1863,"Koobi Fora Field Camp","Lake",5.54,38.99,-5.33
"76","L19",2018-02-14,3.9479,36.1863,"Koobi Fora Field Camp","Lake",5.42,38.91,-4.45
"77","L24",2018-07-06,3.9496,36.1861,"Koobi Fora Field Camp","Lake",5.88,39.65,-7.39
"78","MSTI007",2019-10-02,3.8809,36.3257,"Koobi Fora Museum","Lake",5.19,37.33,-4.19
"79","L07",2017-03-26,4.1072,35.9174,"Nariokotome","Lake",5.63,40.11,-4.93
"80","L21",2018-03-22,4.1072,35.9174,"Nariokotome","Lake",4.76,35.85,-2.23
"81","MSTI013",2020-01-18,3.7946,35.8538,"Topernawi","Lake",4.71,32.22,-5.46
"82","L08",2017-03-25,3.2534,36.0204,"Eliye Springs","Lake",5.46,39.88,-3.8
"83","L22",2018-03-23,3.2534,36.0204,"Eliye Springs","Lake",5.02,36.45,-3.71
"84","MSTI015",2020-01-22,3.0128,36.1198,"Kerio River Delta","Lake",2.2,13.95,-3.65
"85","L13",2017-06-24,4.4591,36.2111,"Omo River Delta","Restricted Lake",7.92,49.79,-13.57
"86","L002",2016-09-30,4.2889,36.2058,"Il Eeriet Delta","Restricted Lake",6,41.13,-6.87
"87","L17",2018-02-09,4.2572,36.2225,"Kale Beach","Restricted Lake",6.27,43.17,-6.99
"88","MSTI002",2019-09-22,4.2611,36.2235,"Kale Beach","Restricted Lake",9.68,54.7,-22.74
"89","MSTI005",2019-09-27,4.1786,36.2367,"Tulu Bor Delta","Restricted Lake",5.67,38.52,-6.84
"90","E01",2017-07-03,4.2865,36.1343,"TBI-Ileret","Surface",4.52,22.2,-13.96
"91","E02",2018-07-04,4.2865,36.1343,"TBI-Ileret","Surface",6.14,24.98,-24.14
"92","E03",2018-07-19,4.2865,36.1343,"TBI-Ileret","Surface",5.03,20.55,-19.69
"93","BW01",2018-08-06,4.2865,36.1343,"TBI-Ileret","Surface",7.34,31.21,-27.51
"94","BW02",2018-10-04,4.2865,36.1343,"TBI-Ileret","Surface",10.67,45.45,-39.91
"95","BW03",2018-11-04,4.2865,36.1343,"TBI-Ileret","Surface",7.96,33.91,-29.77
"96","BW04",2018-12-04,4.2865,36.1343,"TBI-Ileret","Surface",7.68,32.96,-28.48
"97","BW05",2019-01-04,4.2865,36.1343,"TBI-Ileret","Surface",4.56,32.51,-3.97
"98","BW06",2019-04-01,4.2865,36.1343,"TBI-Ileret","Surface",8.97,39.62,-32.14
"99","BW07",2019-04-04,4.2865,36.1343,"TBI-Ileret","Surface",6.12,31.29,-17.67
"100","BW08",2019-09-04,4.2865,36.1343,"TBI-Ileret","Surface",7.45,33.72,-25.88
"101","MSTI011",2020-01-16,3.851,35.7237,"Topernawi","Surface",-3.68,-26.82,2.62
"102","G05",2017-05-28,4.3261,36.2228,"Ileret","Ground",-0.12,-2.33,-1.37
"103","G04",2017-05-28,4.2968,36.2184,"Ileret","Ground",2.42,3.94,-15.42
"104","G07",2017-06-21,4.1849,36.4816,"Karari","Ground",-2.23,-11.9,5.94
"105","T001",2016-10-06,4.1719,36.154,"TBI-Ileret","Ground",3.11,-11.14,-36.02
"106","T01",2017-03-08,4.1719,36.154,"TBI-Ileret","Ground",3.23,-9.02,-34.86
"107","T04",2017-05-26,4.1719,36.154,"TBI-Ileret","Ground",3.05,-12.83,-37.23
"108","T03",2017-03-29,3.0829,35.515,"TBI-Turkwel","Ground",-2.46,-8.4,11.28
"109","MSTI017",2020-01-22,3.141,35.8655,"TBI-Turkwel","Ground",-1.84,-5.02,9.7
"110","MSTI014",2020-01-22,2.9499,36.0864,"Lothagam","Ground",18.95,19.68,-131.92
"111","G06",2017-05-28,4.3211,36.2267,"Il Eeriet","Ground",-4.76,-27.17,10.91
"112","G01",2017-01-31,4.2163,36.3067,"Il Nitirwa","Ground",-1.33,-6.83,3.81
"113","G02",2017-02-10,4.1917,36.2342,"Il Kimere","Ground",-0.35,-1.56,1.24
"114","G03",2017-03-18,3.0829,35.515,"TBI-Turkwel","Ground",2.25,14.92,-3.08
"115","G08",2017-07-05,3.0829,35.515,"TBI-Turkwel","Ground",0.28,5.7,3.46
"116","MSTW-21-01",2021-07-04,3.142,35.862,"TBI-Turkwel","River",-1.14,-0.6,8.57
"117","MSTW-21-02",2021-07-05,3.1425,35.8622,"TBI-Turkwel","River",-1.21,0,9.73
"118","MSTW-21-03",2021-07-05,3.1449,35.8618,"Turkwel River well","Ground",-1.22,1.9,11.6
"119","MSTW-21-04",2021-07-05,3.0976,36.132,"Turkwel River delta","River",-0.61,3.5,8.35
"120","MSTW-21-05",2021-07-05,3.1026,36.1433,"Turkwel River delta","River",-0.64,3.2,8.28
"121","MSTW-21-06",2021-07-05,3.1039,36.1446,"Turkwel River delta","River",-0.61,3.4,8.32
"122","MSTW-21-07",2021-07-05,3.1096,35.1479,"Turkwel River delta","River",-0.58,3.6,8.21
"123","MSTW-21-08",2021-07-05,3.11,36.1482,"Turkwel River delta","Lake",-0.55,3.6,8.04
